Vis,U,V,W
 (-1.586313247680664062e-01+-1.105915089283371344e-05j), (-1.382561457385683752e+04+0.000000000000000000e+00j), (6.587509051172746695e+02+0.000000000000000000e+00j), (-1.314334352096988823e+03+0.000000000000000000e+00j)
 (-2.833561301231384277e-01+2.721239252423401922e-05j), (-1.670310571758448350e+04+0.000000000000000000e+00j), (1.251159302798743965e+03+0.000000000000000000e+00j), (-2.508027542046808321e+03+0.000000000000000000e+00j)
 (2.454967498779296875e-01+-3.928396472474560142e-05j), (-1.989124248643081228e+04+0.000000000000000000e+00j), (1.891685143580900558e+03+0.000000000000000000e+00j), (-3.838202014904071348e+03+0.000000000000000000e+00j)
 (-6.328472867608070374e-03+5.443422924145124853e-05j), (-2.343461637354594859e+04+0.000000000000000000e+00j), (2.620000618608536570e+03+0.000000000000000000e+00j), (-5.140818842958251480e+03+0.000000000000000000e+00j)
 (4.465627372264862061e-01+-2.530870187911204994e-05j), (-4.283411656290248175e+03+0.000000000000000000e+00j), (-1.453928086282663571e+03+0.000000000000000000e+00j), (3.035997232054333381e+03+0.000000000000000000e+00j)
 (4.569862484931945801e-01+-3.040124283870682120e-05j), (-4.193965476404723631e+03+0.000000000000000000e+00j), (-1.885894923822605051e+03+0.000000000000000000e+00j), (3.930365406680005890e+03+0.000000000000000000e+00j)
 (4.079448282718658447e-01+-3.066265344386920333e-05j), (-4.055710056957167126e+03+0.000000000000000000e+00j), (-2.556526650722804334e+03+0.000000000000000000e+00j), (5.310957859428248412e+03+0.000000000000000000e+00j)
 (2.762710750102996826e-01+-1.713782876322511584e-05j), (-3.900065138377865878e+03+0.000000000000000000e+00j), (-3.309848604870566760e+03+0.000000000000000000e+00j), (6.865845366827465114e+03+0.000000000000000000e+00j)
 (5.394319817423820496e-02+1.695755599939730018e-05j), (-3.702920162580885517e+03+0.000000000000000000e+00j), (-4.265097643481791238e+03+0.000000000000000000e+00j), (8.834470857064276061e+03+0.000000000000000000e+00j)
 (-1.621407866477966309e-01+5.574343958869576454e-05j), (-3.475286519944830616e+03+0.000000000000000000e+00j), (-5.366723164811332026e+03+0.000000000000000000e+00j), (1.110849758883178220e+04+0.000000000000000000e+00j)
 (-2.382075637578964233e-01+5.611208689515478909e-05j), (-3.218728957667616669e+03+0.000000000000000000e+00j), (-6.604891774061286924e+03+0.000000000000000000e+00j), (1.367298067740269471e+04+0.000000000000000000e+00j)
 (-1.320532411336898804e-01+-1.067601624527014792e-05j), (-2.934447532261516699e+03+0.000000000000000000e+00j), (-7.977898260498826858e+03+0.000000000000000000e+00j), (1.651372101832540284e+04+0.000000000000000000e+00j)
 (-1.259920682059600949e-04+-8.397507190238684416e-05j), (-2.623532764837777904e+03+0.000000000000000000e+00j), (-9.481759494762092800e+03+0.000000000000000000e+00j), (1.961975900430972251e+04+0.000000000000000000e+00j)
 (4.495008885860443115e-01+-1.304446141148218885e-05j), (2.328499662477977836e+03+0.000000000000000000e+00j), (6.843439264960818491e+02+0.000000000000000000e+00j), (-1.423231822072511932e+03+0.000000000000000000e+00j)
 (3.891668915748596191e-01+2.550761382735799998e-05j), (4.953055142733210232e+03+0.000000000000000000e+00j), (1.464918031097241737e+03+0.000000000000000000e+00j), (-3.022455902161446829e+03+0.000000000000000000e+00j)
 (8.700270950794219971e-02+-1.390042507409816608e-05j), (7.860962721474839782e+03+0.000000000000000000e+00j), (2.329604273359653234e+03+0.000000000000000000e+00j), (-4.794753540491804415e+03+0.000000000000000000e+00j)
 (-4.267478361725807190e-02+-4.657936005969531834e-05j), (1.104143581976427231e+04+0.000000000000000000e+00j), (3.280892814400693169e+03+0.000000000000000000e+00j), (-6.730312451057451653e+03+0.000000000000000000e+00j)
 (-2.585702575743198395e-02+3.233951065340079367e-05j), (-6.778402926194865358e+03+0.000000000000000000e+00j), (-1.775426264941206909e+03+0.000000000000000000e+00j), (3.690926117964984769e+03+0.000000000000000000e+00j)
 (-7.758229970932006836e-02+3.469203875283710659e-05j), (-7.781878717025938386e+03+0.000000000000000000e+00j), (-1.571231363604754506e+03+0.000000000000000000e+00j), (3.273346068322891824e+03+0.000000000000000000e+00j)
 (4.052928090095520020e-02+-2.160287294827867299e-06j), (-9.232063968188638682e+03+0.000000000000000000e+00j), (-1.285730263822633333e+03+0.000000000000000000e+00j), (2.665255922575288878e+03+0.000000000000000000e+00j)
 (1.223050802946090698e-01+-4.160480602877214551e-05j), (-1.107840587304866131e+04+0.000000000000000000e+00j), (-9.154206480431319051e+02+0.000000000000000000e+00j), (1.894333859211209983e+03+0.000000000000000000e+00j)
 (-2.461068779230117798e-01+1.361438444291707128e-05j), (-1.328944691746006174e+04+0.000000000000000000e+00j), (-4.712131432900548589e+02+0.000000000000000000e+00j), (9.715307436855491687e+02+0.000000000000000000e+00j)
 (-3.092085719108581543e-01+2.290791417181026191e-05j), (-1.584226543342351761e+04+0.000000000000000000e+00j), (5.786908038350838979e+01+0.000000000000000000e+00j), (-8.582018812688420439e+01+0.000000000000000000e+00j)
